#{"t_start": 1601012624.1188917, "env_id": "sdnsampling-v2"}
r,l,t
0.116572,1,11.576374
0.444539,1,11.58628
0.370169,1,11.591793
0.327545,1,11.596302
0.386621,1,11.602517
0.176922,1,11.617023
0.111959,1,11.626005
0.000917,1,11.633074
0.278336,1,11.640076
0.032327,1,11.648465
0.060659,1,11.657104
0.061307,1,11.66737
0.425214,1,11.675419
0.120913,1,11.683146
0.123284,1,11.695218
0.030115,1,11.701912
-0.048768,1,11.70974
0.382982,1,11.7189
0.32054,1,11.730602
0.454664,1,11.741036
0.493737,1,11.753819
0.157651,1,11.758857
0.537059,1,11.774438
0.299346,1,11.782257
0.069378,1,11.787944
0.36794,1,11.792611
0.002215,1,11.79876
-0.026764,1,11.803380.496805,1,821.72834
0.319111,1,822.967118
0.469281,1,824.072814
0.293768,1,825.417274
0.493676,1,826.816186
0.368286,1,827.620205
0.452994,1,828.820811
0.767198,1,831.0253
0.418269,1,836.757294
0.376841,1,837.905595
0.411615,1,838.31212
0.375562,1,839.108182
0.401963,1,839.943441
0.734195,1,841.820224
0.619406,1,844.073851
0.449957,1,845.241291
0.512639,1,846.459172
0.72043,1,849.487882
0.499077,1,850.29788
0.67853,1,852.255949
0.335538,1,853.130584
0.600774,1,854.468489
0.564826,1,855.711751
0.522806,1,856.507429
0.447984,1,857.656219
0.469795,1,858.500201
0.618581,1,859.816265
0.428862,1,860.925114
0.444109,1,861.641253
0.724896,1,863.999297
0.55281,1,865.035465
0.429092,1,865.896886
0.239679,1,866.211481
0.383688,1,868.220301
0.523867,1,869.395836
0.304222,1,869.828849
0.439907,1,870.725707
0.426138,1,871.471574
0.383171,1,872.619068
0.744302,1,874.704995
0.677537,1,876.401607
0.4248,1,877.275406
0.667355,1,880.097995
0.53022,1,881.216339
0.571595,1,882.230562
0.621048,1,885.71331
0.406537,1,888.903665
0.611678,1,890.227419
0.56797,1,891.418833
0.684532,1,893.269509
0.83459,1,896.745913
0.474081,1,897.697542
0.369861,1,898.633039
0.470048,1,899.67292
0.259471,1,900.563738
0.246307,1,901.542012
0.280548,1,902.547313
0.433224,1,903.458759
0.508835,1,904.356452
0.500911,1,905.122737
0.591179,1,906.464489
0.49872,1,907.815791
0.394671,1,908.499395
0.76733,1,910.778296
0.809268,1,913.584433
0.767497,1,915.888776
0.720131,1,917.779587
0.631437,1,919.089216
0.529466,1,920.126428
0.623508,1,922.191117
0.402035,1,925.12616
0.708201,1,927.647207
0.427449,1,928.797041
0.681112,1,930.505824
0.770174,1,932.909638
0.687103,1,934.321517
0.656795,1,935.600717
0.609134,1,936.801219
0.62285,1,938.142693
0.74554,1,940.03263
0.572341,1,941.200687
0.634576,1,943.005112
0.429181,1,944.867015
0.603214,1,946.506303
0.577192,1,949.139768
0.58868,1,950.700249
0.620426,1,952.06899
0.348727,1,955.117604
6,1,13.101056
0.11244,1,13.105657
0.018715,1,13.113566
0.340772,1,13.120931
0.422854,1,13.132912
0.118071,1,13.143579
0.473675,1,13.154567
0.291165,1,13.159814
0.573793,1,13.166034
0.082322,1,13.172261
0.18458,1,13.180808
0.060001,1,13.188972
0.133797,1,13.195802
0.387477,1,13.204443
0.156077,1,13.211361
0.183225,1,13.224695
0.209914,1,13.231582
0.30128,1,13.236286
0.5057,1,13.2482
0.332944,1,13.257128
0.343673,1,13.266396
0.081951,1,13.274699
0.136737,1,13.2835
0.295038,1,13.288386
-0.085486,1,13.295165
0.12705,1,13.299234
0.045655,1,13.303242
0.327266,1,13.310994
0.13881,1,13.315818
0.197821,1,13.321394
0.122417,1,13.325937
0.007979,1,13.330485
0.436574,1,13.335133
0.370228,1,13.341361
0.37932,1,13.34631
0.410972,1,13.351572
0.1518,1,13.362911
0.205661,1,13.368427
0.288361,1,13.380528
0.221187,1,13.389904
0.365013,1,13.399122
0.200226,1,13.40368
0.396569,1,13.410894
0.466481,1,13.421767
0.472107,1,13.426267
0.172908,1,13.43108
0.072702,1,13.436909
0.104231,1,13.444919
0.352369,1,13.449983
-0.010152,1,13.45508
0.504809,1,13.465527
0.125244,1,13.47051
0.360392,1,13.476239
0.298877,1,13.480608
0.26762,1,13.485402
0.471722,1,13.498323
0.213363,1,13.503543
0.369666,1,13.508191
-0.108108,1,13.512883
0.1468,1,13.516843
0.014459,1,13.523201
0.045368,1,13.528147
0.302374,1,14.130176
0.06936,1,14.137142
0.228391,1,14.152175
0.258085,1,14.160505
0.263043,1,14.168877
0.05022,1,14.177748
0.252478,1,14.190309
0.62024,1,14.198556
0.564309,1,14.215258
0.484475,1,14.239743
0.209463,1,14.254282
0.271211,1,14.25849
0.250859,1,14.262364
0.297948,1,14.26741
0.071406,1,14.272042
0.28559,1,14.283727
0.276196,1,14.289552
0.314617,1,14.294044
0.295623,1,14.298732
0.24014,1,14.307228
0.27027,1,14.312271
0.310477,1,14.32663
0.231494,1,14.331139
0.333959,1,14.338794
0.278751,1,14.346821
0.273837,1,14.354887
0.301326,1,14.360912
0.149055,1,14.36695
0.116774,1,14.373374
0.406582,1,14.392434
0.010066,1,14.397141
0.076593,1,14.401914
0.178591,1,14.411215
0.070255,1,14.416549
0.576942,1,14.426353
0.098212,1,14.431471
0.295486,1,14.435403
0.311701,1,14.442462
0.207601,1,14.451498
0.364528,1,14.469204
0.536517,1,14.478109
0.595144,1,14.482741
0.191888,1,14.497549
0.106113,1,14.509259
0.336383,1,14.517144
0.512834,1,14.535276
0.241615,1,14.542188
0.32242,1,14.547674
0.512812,1,14.559096
0.16577,1,14.563913
0.053002,1,14.570498
0.149472,1,14.579969
0.060786,1,14.584953
0.215735,1,14.595008
0.008715,1,14.599042
0.565731,1,14.607678
-0.089678,1,14.611989
0.307115,1,14.616088
0.445374,1,14.620669
0.190574,1,14.624961
0.552281,1,14.631365
0.549098,1,14.643461
0.394725,1,14.651914
0.32907,1,14.656161
0.159693,1,14.660829
0.542954,1,14.666608
0.362,1,14.674821
