#{"t_start": 1617895544.1983058, "env_id": "sdnsampling-MTD-exp-v0"}
r,l,t
117,1,5151.747257
0,1,5161.34466
0,1,5170.928047
0,1,5180.619498
112,1,5190.869548
0,1,5200.531203
0,1,5210.246869
106,1,5220.62349
0,1,5230.435009
0,1,5240.123172
110,1,5250.620396
0,1,5260.308058
0,1,5270.019362
125,1,5280.62604
121,1,5291.223692
121,1,5301.739531
0,1,5311.541407
116,1,5322.169274
0,1,5331.867594
0,1,5341.563934
0,1,5351.231814
0,1,5360.840867
111,1,5371.349431
0,1,5381.09957
128,1,5391.619191
118,1,5402.063438
0,1,5411.683578
104,1,5422.031785
0,1,5431.713402
122,1,5442.344293
115,1,5452.726447
114,1,5462.910867
119,1,5473.106745
118,1,5483.456204
114,1,5493.912737
0,1,5503.464329
110,1,5513.752627
110,1,5524.106646
0,1,5533.691879
110,1,5544.006235
0,1,5553.532847
0,1,5563.125762
117,1,5573.468037
110,1,5583.863588
0,1,5593.559729
113,1,5603.851769
123,1,5614.308451
119,1,5624.60564
117,1,5634.937091
0,1,5644.476233
0,1,5654.000808
118,1,5664.194879
111,1,5674.610922
0,1,5684.14454
0,1,5693.749861
112,1,5704.005127
119,1,5714.179638
0,1,5723.78739
0,1,5733.278431
113,1,5743.623808
0,1,5753.163429
112,1,5763.47556
0,1,5773.054179
0,1,5782.619933
0,1,5792.014783
0,1,5801.421095
0,1,5810.998083
0,1,5820.523761
0,1,5830.075505
0,1,5839.617448
0,1,5849.157043
114,1,5859.506076
112,1,5869.779961
116,1,5880.028831
0,1,5889.568347
115,1,5899.749079
0,1,5909.268058
120,1,5919.535583
0,1,5929.123319
0,1,5938.669549
113,1,5948.84796
0,1,5958.471554
0,1,5968.075987
117,1,5978.483406
119,1,5988.727665
112,1,5999.071355
0,1,6008.667201
0,1,6018.147802
119,1,6028.547814
0,1,6038.123325
106,1,6048.146678
122,1,6058.597569
114,1,6069.040421
117,1,6079.58004
116,1,6090.022948
97,1,6100.532229
115,1,6110.813646
120,1,6121.34895
0,1,6131.644378
0,1,6141.544013
0,1,6151.359066
0,1,6161.080635
0,1,6170.718879
113,1,6181.292647
121,1,6191.908652
113,1,6202.456055
