#{"t_start": 1613974487.2586246, "env_id": "sdnsampling-v1"}
r,l,t
0.626618,1,350.956595
0.6615,1,351.709259
0.398649,1,352.473943
-0.028566,1,353.231317
0.758831,1,353.987027
0.786099,1,354.744088
0.767593,1,355.508964
0.425623,1,356.270877
0.016955,1,357.037118
0.247478,1,357.804373
0.161511,1,358.56915
0.480124,1,359.323069
-0.187443,1,360.078701
0.606891,1,360.839554
0.654865,1,361.589938
0.83296,1,362.348975
0.687385,1,363.82569
0.502506,1,364.58522
0.541455,1,365.34669
0.702532,1,366.107805
0.690092,1,366.857201
0.639008,1,367.614384
0.630848,1,368.373893
0.618112,1,369.143252
0.641193,1,369.916739
0.680202,1,370.679285
0.495872,1,371.445429
0.689736,1,372.887468
0.30559,1,373.648613
0.66457,1,374.397333
0.617004,1,375.148765
0.693346,1,376.584723
0.430479,1,377.351984
0.341202,1,378.112774
0.432787,1,378.870928
0.674647,1,379.635721
0.428671,1,380.391796
0.765741,1,381.157099
-0.117156,1,381.924903
0.334017,1,382.695843
0.590797,1,383.463919
0.303424,1,384.946286
0.630809,1,386.395169
0.498085,1,387.165291
-0.064315,1,387.94145
0.675767,1,388.713432
0.407328,1,389.47802
0.199102,1,390.23474
0.4737,1,390.993157
0.584952,1,391.752085
0.059174,1,392.52131
0.478598,1,393.290836
0.393335,1,394.058376
0.552473,1,394.821699
0.694253,1,395.588116
0.305054,1,396.358139
0.591924,1,397.129524
0.461566,1,397.895538
0.759333,1,398.662251
0.339677,1,399.431445
0.538764,1,400.189676
0.396734,1,400.950247
0.268301,1,401.7198
0.59417,1,403.167354
0.375411,1,403.940155
0.690097,1,404.708527
0.202219,1,406.029284
0.580857,1,406.785125
0.627801,1,407.54295
0.525856,1,408.307699
0.249463,1,409.073903
0.17691,1,409.83516
0.709115,1,410.594886
0.653393,1,412.031211
0.377732,1,412.805929
0.799207,1,413.572457
0.072233,1,414.328393
0.298415,1,415.080754
0.658086,1,415.834044
0.533693,1,416.583694
0.679489,1,417.346814
0.798808,1,418.091603
0.626971,1,418.843559
0.674603,1,419.592272
0.529705,1,420.35409
0.270883,1,421.103165
0.594717,1,421.855837
0.664021,1,422.611602
0.558874,1,423.367178
