#{"t_start": 1617864486.366404, "env_id": "sdnsampling-MTD-as-v0"}
r,l,t
231.440137,1,215.930274
232.816667,1,216.380704
232.816667,1,216.830704
232.816667,1,217.988403
232.816667,1,218.441763
228.795826,1,218.895133
232.816667,1,219.34103
232.816667,1,219.789165
232.816667,1,220.237805
232.816667,1,220.687294
232.816667,1,221.139328
232.816667,1,221.585553
232.816667,1,222.03383
232.816667,1,222.485633
232.816667,1,222.93421
232.816667,1,223.400775
232.816667,1,223.856991
232.816667,1,224.318753
232.816667,1,224.770168
232.816667,1,225.216472
232.816667,1,225.663927
232.816667,1,226.111895
230.816667,1,227.318569
230.816667,1,227.768643
230.816667,1,228.221628
220.016667,1,229.275348
220.016667,1,229.723875
220.016667,1,230.176211
220.016667,1,230.625803
220.016667,1,231.077546
220.016667,1,231.52425
228.1,1,232.683489
228.1,1,233.136074
228.1,1,233.585373
228.1,1,234.037703
228.1,1,234.492826
224.05,1,235.667818
224.05,1,236.121314
224.05,1,236.568194
224.05,1,237.016513
224.05,1,237.463913
226.366667,1,238.640189
226.366667,1,239.098909
224.912433,1,239.557854
226.366667,1,240.014177
226.366667,1,240.466016
226.366667,1,240.917627
226.366667,1,241.368319
226.366667,1,241.819406
226.366667,1,242.274596
226.366667,1,242.730407
226.366667,1,243.187165
226.366667,1,243.638316
233.9,1,244.816765
233.9,1,245.272218
233.9,1,245.724232
233.9,1,246.177417
224.016667,1,247.356997
220.7,1,248.531528
220.7,1,248.97987
220.7,1,249.435714
220.7,1,249.876301
220.7,1,250.319826
220.7,1,250.766963
226.0,1,251.94781
226.0,1,252.396752
226.0,1,252.846229
226.0,1,253.294168
234.783333,1,254.357214
234.783333,1,254.80334
234.783333,1,255.248433
233.633333,1,256.415733
233.633333,1,256.865175
226.6,1,257.319154
233.633333,1,257.774074
233.633333,1,258.22463
233.633333,1,258.674775
233.633333,1,259.13162
233.633333,1,259.583555
233.633333,1,260.038551
233.633333,1,260.489018
233.633333,1,260.939054
233.202621,1,261.392569
233.633333,1,261.838263
233.633333,1,262.291052
233.633333,1,262.747451
233.633333,1,263.20556
233.633333,1,263.661699
233.633333,1,264.106803
233.633333,1,264.567553
222.266667,1,265.73371
228.050398,1,266.191125
229.016667,1,266.644204
229.016667,1,267.092153
229.016667,1,267.540197
229.016667,1,267.994601
229.016667,1,268.447586
229.016667,1,268.893346
229.016667,1,269.3395
218.75,1,270.54394
218.189977,1,271.002226
218.75,1,271.450704
218.75,1,271.896583
218.75,1,272.656877
218.75,1,273.107111
218.75,1,273.555125
218.75,1,274.003367
218.75,1,274.453286
218.75,1,274.900004
218.75,1,275.351851
218.75,1,275.798348
218.75,1,276.248563
239.216667,1,277.416734
239.216667,1,277.866331
239.216667,1,278.318466
239.216667,1,278.76994
239.216667,1,279.223371
235.183333,1,279.673895
239.216667,1,280.127119
239.216667,1,280.578339
239.216667,1,281.031918
239.216667,1,281.479217
239.216667,1,281.926994
239.216667,1,282.381742
239.216667,1,282.832317
239.216667,1,283.288707
239.216667,1,283.737639
239.216667,1,284.190691
239.216667,1,284.639271
239.216667,1,285.092024
239.216667,1,285.54604
239.216667,1,285.99775
235.792265,1,286.44929
230.55,1,287.63102
226.183333,1,288.809086
226.183333,1,289.265841
226.183333,1,289.7173
226.183333,1,290.169582
226.183333,1,290.617917
226.183333,1,291.068008
156.304229,1,292.128528
220.0,1,292.574443
220.0,1,293.021104
220.0,1,293.479917
220.0,1,293.936314
220.0,1,294.392353
220.0,1,294.844326
220.0,1,295.304644
220.0,1,295.756989
220.0,1,296.205639
220.0,1,296.672966
220.0,1,297.12355
220.0,1,297.571946
220.0,1,298.021401
220.0,1,298.469847
220.0,1,298.918163
229.933333,1,300.082412
220.516667,1,300.54076
229.933333,1,300.989354
222.266667,1,301.436347
229.933333,1,301.890832
229.933333,1,302.343723
229.933333,1,302.796134
229.933333,1,303.243092
229.933333,1,303.695953
229.933333,1,304.146388
229.933333,1,304.59467
229.933333,1,305.043422
229.933333,1,305.489712
229.933333,1,305.945319
229.933333,1,306.394746
229.933333,1,306.851373
229.933333,1,307.303146
229.933333,1,307.750431
229.933333,1,308.210501
229.933333,1,308.660674
229.933333,1,309.110658
229.933333,1,309.564727
229.933333,1,310.014301
229.933333,1,310.470028
229.933333,1,310.917339
229.933333,1,311.369296
229.933333,1,311.828571
229.933333,1,312.279158
163.148353,1,312.73422
229.933333,1,313.184866
229.933333,1,313.636649
229.933333,1,314.088158
229.933333,1,314.537736
229.933333,1,314.993171
229.933333,1,315.44999
229.933333,1,315.895247
225.383333,1,317.09584
225.383333,1,317.545433
225.383333,1,317.99499
225.383333,1,318.445259
211.971808,1,318.897576
225.383333,1,319.344782
225.383333,1,319.792131
225.383333,1,320.268263
225.383333,1,320.721549
225.383333,1,321.174344
225.383333,1,321.622814
225.383333,1,322.750891
221.166932,1,323.251022
225.383333,1,323.726355
237.883333,1,325.021925
235.427789,1,325.478878
237.883333,1,325.922552
237.883333,1,326.364958
237.883333,1,326.808806
233.166667,1,327.977546
233.166667,1,328.425645
232.253751,1,328.871799
233.166667,1,329.324885
233.166667,1,329.773114
233.166667,1,330.223552
233.166667,1,330.676859
190.923883,1,331.122578
90.976538,1,331.572148
233.166667,1,332.019853
233.166667,1,332.470877
233.166667,1,332.926644
236.866667,1,334.121652
236.866667,1,334.57052
229.5,1,335.778511
229.5,1,336.230633
201.875169,1,336.68689
215.079251,1,337.143672
229.5,1,337.597913
229.5,1,338.047423
229.5,1,338.496236
189.069066,1,338.944282
229.5,1,339.392411
229.5,1,339.837968
229.20296,1,340.287348
224.366667,1,341.348902
224.366667,1,341.801815
224.366667,1,342.256162
224.366667,1,342.709706
224.366667,1,343.17148
224.366667,1,343.630186
234.633333,1,344.81244
234.633333,1,345.252767
234.633333,1,345.702208
228.22447,1,346.155637
234.633333,1,346.609085
234.633333,1,347.060428
234.633333,1,347.507164
234.633333,1,347.953017
234.633333,1,348.404078
234.633333,1,348.858676
232.814044,1,349.306915
234.633333,1,349.754983
233.504529,1,350.205474
234.633333,1,350.658734
234.633333,1,351.10518
234.633333,1,351.562731
234.633333,1,352.012603
148.268507,1,352.463503
234.633333,1,352.915535
234.633333,1,353.368373
234.633333,1,353.81893
234.633333,1,354.264494
234.633333,1,354.712645
234.633333,1,355.163446
234.633333,1,355.612787
220.833333,1,356.818712
220.833333,1,357.284027
220.833333,1,357.744406
238.083333,1,358.938424
238.083333,1,359.388643
238.083333,1,359.843205
238.083333,1,360.294775
238.083333,1,360.750214
238.083333,1,361.206857
238.083333,1,361.667677
238.083333,1,362.121462
238.083333,1,362.574924
238.083333,1,363.027521
219.683333,1,364.251912
103.102873,1,364.709415
228.05,1,365.932317
222.216667,1,367.115131
222.216667,1,367.566577
222.216667,1,368.019718
222.216667,1,368.475277
222.216667,1,368.924322
222.216667,1,369.375324
222.216667,1,369.825266
221.956859,1,370.272735
222.216667,1,370.724708
222.216667,1,371.180497
222.216667,1,371.642267
222.216667,1,372.10092
222.216667,1,372.564963
222.216667,1,373.015935
222.216667,1,373.468808
231.616667,1,374.541562
224.916667,1,374.996442
230.269811,1,375.445319
231.616667,1,375.902539
231.616667,1,376.352807
225.283551,1,377.46868
231.616667,1,377.925133
231.616667,1,378.372059
231.616667,1,378.820945
231.616667,1,379.274461
231.616667,1,379.729637
231.616667,1,380.180814
231.616667,1,380.634766
231.616667,1,381.089971
228.962933,1,381.541089
20.116667,1,381.995889
226.766667,1,383.204252
226.766667,1,383.657913
226.766667,1,384.116443
226.766667,1,384.572966
226.766667,1,385.025505
221.75,1,385.48107
226.766667,1,385.930955
226.766667,1,386.388462
226.766667,1,386.841455
226.766667,1,387.292854
226.766667,1,387.741547
226.766667,1,388.203018
